ID;Область;Роль;Функция;Пользовательская история;Ожидаемое поведение по коду;Источник в коде;Статус функции;Статус теста;Ошибки/риски;Статус исправления;Статус повторной проверки
RL-US-011;Telegram бот;Пользователь;Команда /menu в личном чате;Как пользователь я хочу понять где теперь находится групповое меню;Бот сообщает что меню привязано к группе и просит открыть Mini App из группы;backend/src/bot/commands/menu.ts;Неосновной контур;Исключено из основного Mini App цикла;Команды и callback-поведение Telegram не меняем в этом цикле, основной пользовательский поток тестируется через Mini App;Не меняем по уточнению пользователя;Не требуется для Mini App цикла
RL-US-012;Telegram бот;Участник группы;Показать список блюд из Telegram;Как участник я хочу нажать «Показать список» и увидеть активные блюда;handleShowMenuList строит текстовый список активных блюд текущей группы;backend/src/bot/commands/menu.ts backend/src/bot/bot.ts;Неосновной контур;Исключено из основного Mini App цикла;Команды и callback-поведение Telegram не меняем в этом цикле, основной пользовательский поток тестируется через Mini App;Не меняем по уточнению пользователя;Не требуется для Mini App цикла
RL-US-013;Telegram бот;Участник группы;Поиск блюда из Telegram;Как участник я хочу нажать «Поиск блюда» и искать меню в чате;Бот спрашивает поисковый запрос, затем ищет активные блюда группы по названию или описанию;backend/src/bot/commands/menu.ts backend/src/bot/bot.ts;Неосновной контур;Исключено из основного Mini App цикла;Команды и callback-поведение Telegram не меняем в этом цикле, основной пользовательский поток тестируется через Mini App;Не меняем по уточнению пользователя;Не требуется для Mini App цикла
RL-US-014;Telegram бот;Участник группы;Популярные блюда из Telegram;Как участник я хочу нажать «Популярные» и увидеть лидеров меню;Бот показывает до 10 популярных активных блюд группы с голосами и победами;backend/src/bot/commands/menu.ts backend/src/bot/bot.ts;Неосновной контур;Исключено из основного Mini App цикла;Команды и callback-поведение Telegram не меняем в этом цикле, основной пользовательский поток тестируется через Mini App;Не меняем по уточнению пользователя;Не требуется для Mini App цикла
RL-US-015;Telegram бот;Участник группы;Категории из Telegram;Как участник я хочу нажать «Категории» и увидеть группировку блюд;Так как в модели MenuItem нет поля категории, бот показывает понятное сообщение и предлагает список или поиск;backend/src/bot/commands/menu.ts backend/src/bot/bot.ts backend/prisma/schema.prisma;Неосновной контур;Исключено из основного Mini App цикла;Команды и callback-поведение Telegram не меняем в этом цикле, основной пользовательский поток тестируется через Mini App;Не меняем по уточнению пользователя;Не требуется для Mini App цикла
RL-US-016;Telegram бот;Администратор;Быстрое добавление блюда из Telegram;Как администратор я хочу быстро добавить блюдо через чат;Бот проверяет админство в группе, ждёт название блюда, создает активное блюдо в текущей группе и поддерживает отмену;backend/src/bot/commands/menu.ts backend/src/bot/bot.ts;Неосновной контур;Исключено из основного Mini App цикла;Команды и callback-поведение Telegram не меняем в этом цикле, основной пользовательский поток тестируется через Mini App;Не меняем по уточнению пользователя;Не требуется для Mini App цикла
RL-US-017;Telegram бот;Администратор;Настройки меню из Telegram;Как администратор я хочу открыть настройки меню из кнопки;Бот отвечает, что настройки меню доступны в Mini App через кнопку управления;backend/src/bot/commands/menu.ts backend/src/bot/bot.ts;Неосновной контур;Исключено из основного Mini App цикла;Команды и callback-поведение Telegram не меняем в этом цикле, основной пользовательский поток тестируется через Mini App;Не меняем по уточнению пользователя;Не требуется для Mini App цикла
RL-US-018;Группа Telegram;Администратор группы;Добавление бота в группу;Как администратор я хочу добавить бота в группу чтобы включить обеды;Бот обрабатывает my_chat_member, регистрирует группу, отправляет приветствие с кнопкой «Я обедаю» и ссылкой на Mini App, настраивает кнопку Menu;backend/src/bot/events/group-events.ts backend/src/bot/keyboards/webapp.keyboard.ts;Неосновной контур;Исключено из основного Mini App цикла;Команды и callback-поведение Telegram не меняем в этом цикле, основной пользовательский поток тестируется через Mini App;Не меняем по уточнению пользователя;Не требуется для Mini App цикла
RL-US-019;Группа Telegram;Участник;Опт-ин «Я обедаю»;Как участник группы я хочу отметиться что участвую в обедах;Кнопка optin регистрирует пользователя, добавляет его в группу, включает participatesInPolls и дописывает имя в приветственное сообщение без дублей;backend/src/bot/handlers/group.handlers.ts;Неосновной контур;Исключено из основного Mini App цикла;Команды и callback-поведение Telegram не меняем в этом цикле, основной пользовательский поток тестируется через Mini App;Не меняем по уточнению пользователя;Не требуется для Mini App цикла
RL-US-020;Группа Telegram;Система;Синхронизация состава группы;Как система я хочу поддерживать список участников группы актуальным;Бот слушает chat_member и message:new_chat_members, добавляет или деактивирует участников группы;backend/src/bot/events/group-events.ts backend/src/services/group.service.ts;Неосновной контур;Исключено из основного Mini App цикла;Команды и callback-поведение Telegram не меняем в этом цикле, основной пользовательский поток тестируется через Mini App;Не меняем по уточнению пользователя;Не требуется для Mini App цикла
RL-US-021;Mini App вход;Пользователь;Проверка Telegram initData;Как пользователь я хочу чтобы Mini App безопасно распознал меня;Фронтенд отправляет initData в /api/auth/validate, бэкенд выдает токен, /auth/me и /auth/status возвращают текущего пользователя;frontend/src/hooks/useAuth.ts frontend/src/services/auth.service.ts backend/src/api/routes/auth.routes.ts;Исправлено;Пройдено;/auth/status возвращает authenticated и user верхним уровнем ответа, а фронтенд раньше искал их только внутри data, validateInitData писал preview initData в консоль;authService нормализует оба формата /auth/status и больше не пишет Telegram initData в console.log;Повторная проверка пройдена: frontend npm test -- tests/services/auth.service.test.ts --run
RL-US-022;Mini App вход;Пользователь;Обновление авторизации;Как пользователь я хочу оставаться в приложении без повторного входа;Фронтенд вызывает /api/auth/refresh через refreshTokenMiddleware, токен обновляется;frontend/src/services/auth.service.ts backend/src/api/routes/auth.routes.ts;Исправлено;Пройдено;/auth/refresh на бэкенде принимает только refresh-токен, а фронтенд раньше хранил только access-токен и вызывал refresh без нужного Authorization;authService сохраняет refreshToken из /auth/validate, отправляет его на /auth/refresh и обновляет сохраненный refreshToken после успешного ответа;Повторная проверка пройдена: frontend npm test -- tests/services/auth.service.test.ts --run
RL-US-023;Mini App навигация;Пользователь;Нижняя навигация;Как пользователь я хочу быстро переключаться между главной, меню, статистикой и профилем;BottomNavigation ведет на /, /menu, /stats, /profile, подсвечивает текущую вкладку и делает предварительную загрузку главной;frontend/src/components/layout/BottomNavigation.tsx frontend/src/App.tsx;Исправлено;Пройдено;В BottomNavigation были постоянные console.log при монтировании, смене маршрута и автообновлении;Удалены debug-логи и лишний useAuth, поведение навигации и автообновления сохранено;Повторная проверка пройдена: rg console по BottomNavigation пустой, frontend npm run type-check и npm test -- --run
RL-US-024;Mini App навигация;Пользователь;Глубокие ссылки Mini App;Как пользователь я хочу открывать приложение сразу на нужном голосовании или забеге;App читает initDataUnsafe.start_param и query pollId/storeRunId, затем показывает голосование на главной или ведет на /store-run/:id;frontend/src/App.tsx;Исправлено;Пройдено;Логика глубоких ссылок была зашита в эффекты App.tsx и не проверяла что pollId/storeRunId являются числовыми значениями;Добавлен resolveMiniAppDeepLinkNavigation для vote_, storerun_ и legacy storeRunId, битые идентификаторы теперь игнорируются без перехода;Повторная проверка пройдена: frontend npm test -- tests/lib/deep-links.test.ts --run и npm run type-check
RL-US-025;Группы;Пользователь нескольких групп;Выбор текущей группы;Как пользователь я хочу работать с меню и голосованиями нужной группы;useCurrentGroup загружает группы пользователя и выбирает сохраненную или первую доступную группу;frontend/src/hooks/useCurrentGroup.ts frontend/src/components/layout/GroupSelector.tsx;Исправлено;Пройдено;При успешной загрузке пустого списка групп useCurrentGroup раньше оставлял сохраненный currentGroupId от старой группы;useCurrentGroup очищает устаревший currentGroupId только после успешной загрузки групп и выбирает первую доступную группу при непустом списке;Повторная проверка пройдена: frontend npm test -- tests/hooks/useCurrentGroup.test.tsx --run
RL-US-026;Главная;Пользователь;Главный экран без активного голосования;Как пользователь я хочу понять что сейчас нет голосования и что можно сделать дальше;HomePage показывает приветствие, карточку пустого состояния, действия, бюджет и магазинные забеги;frontend/src/pages/HomePage.tsx frontend/src/components/home/HomeEmptyStateCard.tsx;Проверено;Пройдено;Явных ошибок в HomeEmptyStateCard не найдено;Исправление не требуется;Проверка пройдена: frontend npm test -- tests/components/HomeEmptyStateCard.test.tsx --run
RL-US-027;Главная;Администратор;Создание разового голосования из Mini App;Как администратор я хочу создать голосование для группы из приложения;CreatePollForm выбирает группу, длительность, режим выбора, набор блюд и вызывает /api/polls/create-from-webapp;frontend/src/components/polls/CreatePollForm.tsx frontend/src/services/polls.service.ts backend/src/api/routes/poll.routes.ts;Исправлено;Пройдено;Исправлено: форма раньше грузила меню по currentGroupId и могла показать пустое или чужое меню при создании голосования. Теперь меню грузится по выбранной группе;Исправлено в CreatePollForm;Пройдено
RL-US-028;Главная;Администратор;Выбор всех или случайных блюд при создании голосования;Как администратор я хочу быстро заполнить список блюд для голосования;Форма умеет выбрать все блюда или случайный набор, затем передает selectedMenuItems;frontend/src/components/polls/CreatePollForm.tsx;Проверено;Пройдено;Нет;Не требуется;Пройдено
RL-US-029;Главная;Администратор;Создание расписания автоматического голосования;Как администратор я хочу настроить повторяющееся голосование;RecurringPollForm выбирает дни, время, длительность, блюда и создает/обновляет запись через /api/recurring;frontend/src/components/polls/RecurringPollForm.tsx frontend/src/services/recurring-poll.service.ts backend/src/api/routes/recurring-poll.routes.ts;Исправлено;Пройдено;Исправлено: форма расписания раньше неверно читала JSON-строки daysOfWeek и selectedMenuItemIds из API. Существующее расписание могло открыться с невалидным выбором и заблокированной кнопкой обновления;Исправлено в RecurringPollForm;Пройдено
RL-US-030;Бот голосования;Администратор группы;Запуск голосования командой /startpoll;Как администратор группы я хочу запустить голосование из чата;Команда доступна только в группе, проверяет права Telegram-админа, активное меню и отсутствие другого активного голосования, создает голосование и сообщение с кнопкой;backend/src/bot/commands/startpoll.ts;Неосновной контур;Исключено из основного Mini App цикла;Команды и callback-поведение Telegram не меняем в этом цикле, основной пользовательский поток тестируется через Mini App;Не меняем по уточнению пользователя;Не требуется для Mini App цикла
RL-US-031;Бот голосования;Система;Автообновление сообщения голосования;Как участник я хочу видеть актуальный счетчик голосов в сообщении;После /startpoll бот раз в минуту редактирует сообщение активного голосования до завершения;backend/src/bot/commands/startpoll.ts;Неосновной контур;Исключено из основного Mini App цикла;Команды и callback-поведение Telegram не меняем в этом цикле, основной пользовательский поток тестируется через Mini App;Не меняем по уточнению пользователя;Не требуется для Mini App цикла
RL-US-032;Бот голосования;Система;Автозавершение голосования по времени;Как группа я хочу чтобы голосование завершалось само;setTimeout завершает активный опрос, редактирует сообщение с результатами и запускает рулетку при наличии голосов;backend/src/bot/commands/startpoll.ts backend/src/services/poll.service.ts;Неосновной контур;Исключено из основного Mini App цикла;Команды и callback-поведение Telegram не меняем в этом цикле, основной пользовательский поток тестируется через Mini App;Не меняем по уточнению пользователя;Не требуется для Mini App цикла
RL-US-033;Бот голосования;Система;Напоминания о голосовании;Как участник я хочу получить напоминание до завершения голосования;PollReminderService планирует напоминания на 10 минут, 2 минуты и финал;backend/src/bot/commands/startpoll.ts backend/src/services/poll-reminder.service.ts;Неосновной контур;Исключено из основного Mini App цикла;Команды и callback-поведение Telegram не меняем в этом цикле, основной пользовательский поток тестируется через Mini App;Не меняем по уточнению пользователя;Не требуется для Mini App цикла
RL-US-034;Голосование;Участник;Просмотр активного голосования на главной;Как участник я хочу увидеть активное голосование и доступные блюда;InlineVotingCard показывает статус, таймер, блюда, текущие голоса и разворачиваемое состояние;frontend/src/components/voting/InlineVotingCard.tsx frontend/src/pages/HomePage.tsx;Проверено;Пройдено;Нет;Не требуется;Пройдено
RL-US-035;Голосование;Участник;Одиночный выбор блюда;Как участник я хочу выбрать одно блюдо когда голосование настроено на один выбор;InlineVotingCard в одиночном режиме держит один выбранный пункт и отправляет одиночный голос через /api/polls/:id/vote;frontend/src/components/voting/InlineVotingCard.tsx backend/src/api/routes/poll.routes.ts;Исправлено;Пройдено;Одиночный режим раньше отправлял голос через метод множественного выбора;Исправлено в InlineVotingCard;Пройдено
RL-US-036;Голосование;Участник;Множественный выбор блюд;Как участник я хочу выбрать до трех блюд;InlineVotingCard ограничивает выбор maxSelections, сервер дополнительно проверяет максимум и сохраняет несколько голосов;frontend/src/components/voting/InlineVotingCard.tsx backend/src/api/controllers/poll.controller.ts backend/src/services/vote.service.ts;Проверено;Пройдено;Нет;Не требуется;Пройдено
RL-US-037;Голосование;Участник;Отмена своего голоса;Как участник я хочу отменить отправленный голос пока голосование активно;Кнопка отмены вызывает DELETE /api/polls/:id/vote, сервер удаляет голоса текущего пользователя;frontend/src/components/voting/InlineVotingCard.tsx backend/src/api/routes/poll.routes.ts;Проверено;Пройдено;Нет;Не требуется;Пройдено
RL-US-038;Голосование;Администратор;Досрочное завершение голосования;Как администратор я хочу завершить голосование до таймера;InlineVotingCard вызывает PATCH /api/polls/:id/complete, сервер завершает голосование и создает результат;frontend/src/components/voting/InlineVotingCard.tsx backend/src/api/routes/poll.routes.ts;Проверено;Пройдено;Нет;Не требуется;Пройдено
RL-US-039;Голосование;Администратор;Отмена голосования;Как администратор я хочу отменить ошибочное голосование;InlineVotingCard открывает подтверждение и вызывает PATCH /api/polls/:id/cancel;frontend/src/components/voting/InlineVotingCard.tsx backend/src/api/routes/poll.routes.ts;Проверено;Пройдено;Нет;Не требуется;Пройдено
RL-US-040;Голосование;Администратор;Управление участниками текущего голосования;Как администратор я хочу исключить отсутствующих из кворума;PollParticipantsAdminSection получает участников и меняет статус EXPECTED/EXCLUDED через /api/admin/polls/:pollId/participants/:userId;frontend/src/components/polls/PollParticipantsAdminSection.tsx backend/src/api/routes/admin.routes.ts;Исправлено;Пройдено;Mini App не обновлял главный экран при автозакрытии после изменения участника потому что читал autoClosed внутри data вместо верхнего уровня ответа;PollParticipantsAdminSection читает res.autoClosed, тип ответа adminService уточнен;Пройдено
RL-US-041;Голосование;Система;Автозавершение по кворуму;Как группа я хочу чтобы голосование завершилось когда все ожидаемые участники проголосовали;После голосования сервер вызывает PollService.checkAutoComplete и completePollMultiWinner при выполнении условий;backend/src/api/controllers/poll.controller.ts backend/src/services/poll.service.ts;Проверено;Пройдено;Нет;Не требуется;Пройдено
RL-US-042;Голосование;Участник;Просмотр завершенного голосования на главной;Как участник я хочу увидеть победителей и итоги последнего голосования;CompletedPollWidget показывает победителей, ответственного, голоса, может сворачиваться и скрываться;frontend/src/components/polls/CompletedPollWidget.tsx frontend/src/hooks/useCompletedPollVisibility.ts;Исправлено;Пройдено;CompletedPollWidget считал голоса только из _count.votes и мог не показать число участников при наличии votes без _count;voteCount теперь использует poll._count?.votes ?? votes.length, лишний console.error из компонента удален;Пройдено
RL-US-043;Голосование;Участник;Мультипобедители;Как участник я хочу увидеть несколько победивших блюд и кто что выбрал;MultiWinnerResults показывает победителей, группы голосовавших, «со своим» и пропущенных, позволяет копировать результаты;frontend/src/components/voting/MultiWinnerResults.tsx backend/src/api/controllers/poll.controller.ts;Исправлено;Пройдено;MultiWinnerResults показывал только количество пропустивших и не включал их имена в копируемый текст;Добавлен вывод skipped.voters и строка Пропускают в copyToClipboard, лишний console.error удален;Пройдено
RL-US-044;Голосование;Администратор;Рулетка ответственного;Как администратор я хочу выбрать ответственного после голосования;Серверная рулетка выбирает ответственного из проголосовавших и сохраняет PollResult, Mini App показывает выбранного ответственного через оверлей результата;backend/src/services/roulette.service.ts backend/src/api/controllers/poll.controller.ts frontend/src/components/voting/RouletteRevealOverlay.tsx;Проверено;Пройдено;Нет;Не требуется;Пройдено
RL-US-045;Голосование;Участник;Страница результатов голосования;Как участник я хочу открыть результаты конкретного голосования;PollResultsPage загружает /api/polls/:id/results и показывает состояние загрузки, ошибку, победителя и кнопку назад;frontend/src/pages/PollResultsPage.tsx backend/src/api/routes/poll.routes.ts frontend/tests/components/PollResults.test.tsx;Исправлено;Пройдено;Сервер возвращает {result, breakdown}, а страница ждала одиночный PollResult, договор нормализован во frontend/src/services/polls.service.ts;PollResultsPage читает response.data.result и response.data.breakdown;Повторная проверка пройдена: frontend npm test -- --run, 49 файлов и 151 проверка
RL-US-046;Голосование;Участник;Детальная разбивка голосов;Как участник я хочу увидеть кто за что голосовал;PollResults компонент вызывает getPollVoteBreakdown для /api/polls/:id/breakdown;frontend/src/components/polls/PollResults.tsx frontend/src/services/polls.service.ts;Исправлено;Пройдено;Отдельного backend-маршрута GET /api/polls/:id/breakdown нет, детальная разбивка уже приходит из /api/polls/:id/results;PollResults больше не вызывает /breakdown и использует breakdown из getPollResults;Повторная проверка пройдена: PollResults.test.tsx подтверждает отображение блюда, ответственного и отсутствие запроса /breakdown
RL-US-047;Голосование;Пользователь;Экспорт результатов голосования;Как пользователь я хочу выгрузить результаты голосования;PollResults вызывает exportPollData на /api/polls/:id/export?format=json;frontend/src/components/polls/PollResults.tsx frontend/src/services/polls.service.ts;Исправлено;Пройдено;Отдельного backend-маршрута GET /api/polls/:id/export нет, экспорт теперь строится из данных /api/polls/:id/results;exportPollData использует getPollResults и локально формирует JSON или CSV;Повторная проверка пройдена: PollResults.test.tsx подтверждает экспорт без запроса /export
RL-US-048;Голосование;Пользователь;История голосований;Как пользователь я хочу смотреть завершенные голосования группы;PollHistoryPage загружает /api/polls/history с пагинацией, фильтрует уже загруженный список на клиенте и открывает страницу результатов выбранного голосования;frontend/src/pages/PollHistoryPage.tsx frontend/tests/components/PollHistoryPage.test.tsx backend/src/api/routes/poll.routes.ts backend/src/services/poll.service.ts;Исправлено;Пройдено;При смене фильтра страница повторно загружала историю и добавляла дубли голосований с одинаковыми ключами;Фильтр больше не запускает повторную загрузку, добавление страниц использует текущее состояние списка;Повторная проверка пройдена: frontend npm test -- --run tests/components/PollHistoryPage.test.tsx и backend npx jest poll.service getPollHistory
RL-US-049;Голосование;Администратор;Повторить вчерашнее голосование;Как администратор я хочу создать копию последнего завершенного голосования;HomePage получает last-completed для текущей группы, показывает администратору действие Повторить и вызывает POST /api/polls/repeat/:id;frontend/src/pages/HomePage.tsx frontend/src/components/home/HomeActionsSection.tsx frontend/src/services/polls.service.ts backend/src/api/routes/poll.routes.ts backend/src/services/poll.service.ts;Исправлено;Пройдено;В Mini App не было пользовательского входа для повтора, getLastCompleted не принимал groupId;Добавлены плитка Повторить, загрузка последнего завершенного голосования по группе и групповой маршрут getLastCompleted(groupId);Повторная проверка пройдена: HomeActionsSection.test.tsx, polls.service.test.ts и backend poll.service getLastCompletedPoll
RL-US-050;Голосование;Разработчик/старый код;Старый метод closePoll;Как старый компонент я ожидаю закрыть голосование через closePoll;usePolls вызывает pollsService.closePoll, а сервис ходит на POST /api/polls/:id/close;frontend/src/hooks/usePolls.ts frontend/src/services/polls.service.ts;Исправлено;Пройдено;Старый метод closePoll ходил на отсутствующий POST /api/polls/:id/close;closePoll переиспользует актуальный PATCH /api/polls/:id/complete через completePoll;Повторная проверка пройдена: frontend npm test -- tests/services/polls.service.test.ts --run
RL-US-051;Голосование;Разработчик/старый код;Получение своих голосов в опросе;Как компонент я хочу получить выбранные пользователем блюда;pollsService.getUserVotes ходит на /api/polls/:id/my-votes;frontend/src/services/polls.service.ts backend/src/api/routes/vote.routes.ts;Исправлено;Пройдено;getUserVotes ходил на отсутствующий /api/polls/:id/my-votes;getUserVotes переведен на существующий GET /api/votes/:pollId/user;Повторная проверка пройдена: frontend npm test -- tests/services/polls.service.test.ts --run
RL-US-052;Голосование;Разработчик/старый код;Поиск, тренды, сравнение голосований;Как аналитический экран я хочу искать, сравнивать и смотреть тренды голосований;pollsService содержит searchPolls, getPollTrends и comparePolls;frontend/src/services/polls.service.ts backend/src/api/routes/poll.routes.ts;Устаревший непроверяемый слой;Исключено из текущего Mini App цикла;searchPolls, getPollTrends и comparePolls не имеют backend-маршрутов и не используются текущими компонентами Mini App;Не меняем без пользовательского экрана или потребителя метода;Проверено поиском по коду: вызовов методов в frontend/src и frontend/tests нет
RL-US-053;Меню;Пользователь;Просмотр меню группы;Как пользователь я хочу видеть блюда текущей группы;MenuPage через useMenuItems берет currentGroupId, загружает /api/menu?groupId=... и показывает блюда текущей группы;frontend/src/pages/MenuPage.tsx frontend/src/hooks/queries/useMenuQueries.ts frontend/src/services/menu.service.ts backend/src/api/routes/menu.routes.ts backend/src/services/menu.service.ts;Проверено;Пройдено;Нет;Не требуется;Пройдено
RL-US-054;Меню;Пользователь;Поиск по меню;Как пользователь я хочу найти блюдо по названию;MenuPage локально фильтрует загруженные блюда по названию или описанию, menuService.searchItems ходит в /api/menu/search с groupId и query;frontend/src/pages/MenuPage.tsx frontend/src/services/menu.service.ts backend/src/api/routes/menu.routes.ts backend/src/services/menu.service.ts;Проверено;Пройдено;Нет;Не требуется;Пройдено
RL-US-055;Меню;Администратор;Добавление блюда;Как администратор я хочу добавить блюдо в одну или несколько групп;MenuForm собирает название, описание, цену, изображение и groupIds, MenuPage вызывает POST /api/menu с выбранными groupIds;frontend/src/components/menu/MenuForm.tsx frontend/src/pages/MenuPage.tsx frontend/src/services/menu.service.ts backend/src/api/routes/menu.routes.ts backend/src/services/menu.service.ts;Исправлено;Пройдено;Ранее был подтвержден backend-риск потери groupIds, Mini App-форма не была полностью проверена;Нормализация groupId -> groupIds сохранена, добавлены frontend-проверки формы и POST-контракта;Повторная проверка пройдена: MenuForm.test.tsx, menu.service.test.ts, backend validation.test.ts и menu-multigroup.service.test.ts
RL-US-056;Меню;Администратор;Редактирование блюда;Как администратор я хочу изменить данные блюда;MenuPage открывает MenuForm с текущими данными и вызывает PUT /api/menu/:id?groupId=...;frontend/src/pages/MenuPage.tsx frontend/src/components/menu/MenuList.tsx frontend/src/services/menu.service.ts backend/src/services/menu.service.ts backend/src/api/routes/menu.routes.ts;Исправлено;Пройдено;MenuForm возвращала groupIds при редактировании, frontend отправлял это поле в PUT и сервер мог передать его в Prisma;Клиентский updateItem и серверный MenuService.updateMenuItem отбрасывают create-only groupIds/groupId из тела обновления;Пройдено: frontend MenuPage.test.tsx + menu.service.test.ts, backend menu.service.test.ts
RL-US-057;Меню;Администратор;Удаление блюда;Как администратор я хочу удалить блюдо из меню группы;MenuPage показывает подтверждение и вызывает DELETE /api/menu/:id?groupId=...;frontend/src/pages/MenuPage.tsx frontend/src/components/menu/MenuList.tsx frontend/src/services/menu.service.ts backend/src/services/menu.service.ts backend/src/api/routes/menu.routes.ts;Проверено;Пройдено;Нет;Не требуется;Пройдено: frontend MenuPage.test.tsx + menu.service.test.ts, backend menu.service.test.ts
RL-US-058;Меню;Администратор;Архивация/активация блюда;Как администратор я хочу быстро скрывать и возвращать блюда без удаления;MenuRow вызывает PATCH /api/menu/:id/toggle?groupId=... и обновляет статус;frontend/src/pages/MenuPage.tsx frontend/src/components/menu/MenuRow.tsx frontend/src/services/menu.service.ts backend/src/services/menu.service.ts backend/src/api/routes/menu.routes.ts;Проверено;Пройдено;Нет;Не требуется;Пройдено: frontend MenuPage.test.tsx + menu.service.test.ts, backend menu.service.test.ts
RL-US-059;Меню;Пользователь;Популярные блюда и статистика меню;Как пользователь я хочу видеть популярные блюда и статистику меню;Сервисы читают /api/menu/popular и /api/menu/stats с groupId;frontend/src/services/menu.service.ts backend/src/services/menu.service.ts backend/src/api/routes/menu.routes.ts;Проверено;Пройдено;Нет;Не требуется;Пройдено: frontend menu.service.test.ts, backend menu.service.test.ts
